aoa_deg, beta_deg, velocity, CD, CL, Cm, Cl_roll, Cn_yaw, timestampS
-10,-15,8,0.1431799,-0.2541312,-0.06157811,-0.0051047876,-0.0010307758,14.1
-10,-15,14,0.1340089,-0.2412837,-0.05652775,-0.0042921947,-0.00086380285,23.7
-10,-15,20,0.1305378,-0.2356593,-0.05452756,-0.004147269,-0.00082966033,20.2
-10,-15,26,0.1286263,-0.2321453,-0.05374729,-0.0042348593,-0.0008367877,16.7
-10,-15,30,0.1277962,-0.2304755,-0.05343957,-0.004339853,-0.0008512672,16.2
-10,-10,8,0.1422024,-0.2576845,-0.06159251,-0.0052290065,-0.0010817442,15.9
-10,-10,14,0.1334758,-0.2432282,-0.05688241,-0.004577937,-0.0009422923,16.3
-10,-10,20,0.1299876,-0.2371781,-0.05505254,-0.0046215043,-0.00094707863,17.2
-10,-10,26,0.1280806,-0.2341019,-0.0539867,-0.0049151666,-0.0010039345,19.7
-10,-10,30,0.1272232,-0.2330273,-0.0534145,-0.005147681,-0.0010516419,21.5
-10,-5,8,0.141015,-0.2537805,-0.06138446,-0.0051843747,-0.0011118794,20.9
-10,-5,14,0.1332117,-0.2392523,-0.05643499,-0.0052059116,-0.0011169638,21.1
-10,-5,20,0.130043,-0.2338233,-0.05482875,-0.005455162,-0.0011573948,21.5
-10,-5,26,0.1282552,-0.2308327,-0.05406238,-0.0058068237,-0.0012185989,15.6
-10,-5,30,0.1274161,-0.2295374,-0.05371023,-0.006046011,-0.0012624607,15.6
-10,0,8,0.1383578,-0.2470996,-0.06035521,-0.0042625745,-0.000881246,14.8
-10,0,14,0.1321871,-0.2335797,-0.05683971,-0.0047550187,-0.0009874007,15.9
-10,0,20,0.1295228,-0.2292566,-0.05525193,-0.005360865,-0.0011032847,15.7
-10,0,26,0.1278939,-0.2271864,-0.05443307,-0.0058920924,-0.0012064864,15.2
-10,0,30,0.1272192,-0.2259318,-0.05434071,-0.005979113,-0.0012179933,16.8
-10,5,8,0.13711,-0.2414427,-0.0588793,-0.0045389454,-0.000933633,17.0
-10,5,14,0.1309095,-0.2315941,-0.0546597,-0.005737578,-0.0011655574,17.6
-10,5,20,0.1280348,-0.2275114,-0.05352518,-0.0064570513,-0.00131269,15.7
-10,5,26,0.1264579,-0.2254123,-0.05310329,-0.0067739123,-0.0013720832,17.1
-10,5,30,0.1256902,-0.2244043,-0.05291662,-0.00701127,-0.0014187956,21.4
-10,10,8,0.1346142,-0.2331549,-0.05753968,-0.0050434335,-0.0010269177,21.2
-10,10,14,0.1288051,-0.2243165,-0.05393754,-0.006202836,-0.0012387575,22.0
-10,10,20,0.1261519,-0.2202806,-0.05306246,-0.0070345127,-0.0013974417,28.0
-10,10,26,0.1246963,-0.2178246,-0.05280857,-0.0074786446,-0.0014781748,21.8
-10,10,30,0.1239978,-0.21663,-0.05270139,-0.007741447,-0.0015277596,23.1
-10,15,8,0.1324755,-0.2236987,-0.05661557,-0.005112469,-0.001044055,15.7
-10,15,14,0.1275241,-0.2130761,-0.05363779,-0.0072155865,-0.0014545827,16.2
-10,15,20,0.1252602,-0.2078719,-0.05332397,-0.008154653,-0.0016213274,19.1
-10,15,26,0.1239088,-0.2047832,-0.05323251,-0.008563848,-0.0016868149,21.2
-10,15,30,0.1231885,-0.2030527,-0.05321851,-0.008760996,-0.0017198874,23.9
-5,-15,8,0.1092587,-0.09043244,-0.04135384,-0.002565749,-0.00040535562,23.1
-5,-15,14,0.09849009,-0.1057212,-0.03382433,-0.0029144601,-0.00040008425,22.4
-5,-15,20,0.09540284,-0.1065942,-0.03191888,-0.0030352022,-0.00040779353,21.3
-5,-15,26,0.09413816,-0.1040555,-0.03149551,-0.003251865,-0.00042669996,21.7
-5,-15,30,0.09361888,-0.1020695,-0.03144761,-0.003430682,-0.00044300215,22.4
-5,-10,8,0.1065112,-0.09981214,-0.04019943,-0.0027476999,-0.00041208166,29.7
-5,-10,14,0.09764517,-0.1095953,-0.03360056,-0.0035391636,-0.00051851425,26.4
-5,-10,20,0.09532131,-0.1048604,-0.03251396,-0.003923853,-0.0005578264,29.3
-5,-10,26,0.09431366,-0.1004996,-0.03235679,-0.004247572,-0.0005816019,30.1
-5,-10,30,0.09386636,-0.09847093,-0.03232091,-0.0043816147,-0.0005896607,32.4
-5,-5,8,0.1037534,-0.1071921,-0.03837263,-0.0028962889,-0.00041561262,42.4
-5,-5,14,0.09693688,-0.1100926,-0.0329604,-0.0040388065,-0.0005734079,41.2
